sep=,
org_x,org_y,org_z,hit,hit_x,hit_y,hit_z
2.2,-6.4,1,1,2.2,-6.4,-0.657911
2.4,-6.4,1,1,2.4,-6.4,-0.657911
2.6,-6.4,1,1,2.6,-6.4,-0.657911
2.8,-6.4,1,1,2.8,-6.4,-0.657911
3,-6.4,1,1,3,-6.4,-0.732058
3.2,-6.4,1,1,3.2,-6.4,-0.566646
3.4,-6.4,1,1,3.4,-6.4,-0.566646
3.6,-6.4,1,1,3.6,-6.4,-0.566646
3.8,-6.4,1,1,3.8,-6.4,-0.398051
4,-6.4,1,1,4,-6.4,-0.115581
4.2,-6.4,1,1,4.2,-6.4,-0.166889
4.4,-6.4,1,1,4.4,-6.4,-0.44936
4.6,-6.4,1,1,4.6,-6.4,-0.73183
4.8,-6.4,1,1,4.8,-6.4,-1.0143
5,-6.4,1,1,5,-6.4,-1.29677
5.2,-6.4,1,1,5.2,-6.4,-1.29393
5.4,-6.4,1,1,5.4,-6.4,-1.29393
5.6,-6.4,1,1,5.6,-6.4,-1.29393
5.8,-6.4,1,1,5.8,-6.4,-1.29393
6,-6.4,1,1,6,-6.4,-1.29393
6.2,-6.4,1,1,6.2,-6.4,-1.08781
6.4,-6.4,1,1,6.4,-6.4,-0.805342
6.6,-6.4,1,1,6.6,-6.4,-0.581854
6.8,-6.4,1,1,6.8,-6.4,-0.299383
7,-6.4,1,1,7,-6.4,-0.196122
7.2,-6.4,1,1,7.2,-6.4,-0.265557
7.4,-6.4,1,1,7.4,-6.4,-0.548027
7.6,-6.4,1,1,7.6,-6.4,-0.830497
7.8,-6.4,1,1,7.8,-6.4,-1.10438
8,-6.4,1,1,8,-6.4,-0.869129
8.2,-6.4,1,1,8.2,-6.4,-0.869129
8.4,-6.4,1,1,8.4,-6.4,-0.869129
8.6,-6.4,1,1,8.6,-6.4,-0.869129
8.8,-6.4,1,1,8.8,-6.4,-0.869129
9,-6.4,1,1,9,-6.4,-0.869129
9.2,-6.4,1,1,9.2,-6.4,-0.681115
9.4,-6.4,1,1,9.4,-6.4,-0.398645
9.6,-6.4,1,1,9.6,-6.4,-0.27655
9.8,-6.4,1,1,9.8,-6.4,-0.27655
-10,-6.2,1,1,-10,-6.2,-0.945887
-9.8,-6.2,1,1,-9.8,-6.2,-0.679227
-9.6,-6.2,1,1,-9.6,-6.2,-0.48708
-9.4,-6.2,1,1,-9.4,-6.2,-0.48708
-9.2,-6.2,1,1,-9.2,-6.2,-0.48708
-9,-6.2,1,1,-9,-6.2,-0.48708
-8.8,-6.2,1,1,-8.8,-6.2,-0.532029
-8.6,-6.2,1,1,-8.6,-6.2,-0.532029
-8.4,-6.2,1,1,-8.4,-6.2,-0.656245
-8.2,-6.2,1,1,-8.2,-6.2,-0.938715
-8,-6.2,1,1,-8,-6.2,-1.22118
-7.8,-6.2,1,1,-7.8,-6.2,-1.5004
-7.6,-6.2,1,1,-7.6,-6.2,-1.68825
-7.4,-6.2,1,1,-7.4,-6.2,-1.40578
-7.2,-6.2,1,1,-7.2,-6.2,-1.12331
-7,-6.2,1,1,-7,-6.2,-0.840837
-6.8,-6.2,1,1,-6.8,-6.2,-0.558367
-6.6,-6.2,1,1,-6.6,-6.2,-0.533643
-6.4,-6.2,1,1,-6.4,-6.2,-0.533643
-6.2,-6.2,1,1,-6.2,-6.2,-0.47104
-6,-6.2,1,1,-6,-6.2,-0.18857
-5.8,-6.2,1,1,-5.8,-6.2,-0.0938994
-5.6,-6.2,1,1,-5.6,-6.2,-0.37637
-5.4,-6.2,1,1,-5.4,-6.2,-0.65884
-5.2,-6.2,1,1,-5.2,-6.2,-0.685751
-5,-6.2,1,1,-5,-6.2,-0.830601
-4.8,-6.2,1,1,-4.8,-6.2,-1.11307
-4.6,-6.2,1,1,-4.6,-6.2,-1.37248
-4.4,-6.2,1,1,-4.4,-6.2,-1.37248
-4.2,-6.2,1,1,-4.2,-6.2,-1.37248
-4,-6.2,1,1,-4,-6.2,-1.37248
-3.8,-6.2,1,1,-3.8,-6.2,-1.23336
-3.6,-6.2,1,1,-3.6,-6.2,-0.950886
-3.4,-6.2,1,1,-3.4,-6.2,-0.684526
-3.2,-6.2,1,1,-3.2,-6.2,-0.684526
-3,-6.2,1,1,-3,-6.2,-0.684526
-2.8,-6.2,1,1,-2.8,-6.2,-0.684526
-2.6,-6.2,1,1,-2.6,-6.2,-0.684526
-2.4,-6.2,1,1,-2.4,-6.2,-0.743934
-2.2,-6.2,1,1,-2.2,-6.2,-1.0264
-2,-6.2,1,1,-2,-6.2,-1.07972
-1.8,-6.2,1,1,-1.8,-6.2,-0.797253
-1.6,-6.2,1,1,-1.6,-6.2,-0.514783
-1.4,-6.2,1,1,-1.4,-6.2,-0.388213
-1.2,-6.2,1,1,-1.2,-6.2,-0.388213
-1,-6.2,1,1,-1,-6.2,-0.388213
-0.8,-6.2,1,1,-0.8,-6.2,-0.597134
-0.6,-6.2,1,1,-0.6,-6.2,-0.443587
-0.4,-6.2,1,1,-0.4,-6.2,-0.443587
-0.2,-6.2,1,1,-0.2,-6.2,-0.443587
0,-6.2,1,1,0,-6.2,-0.452076
0.2,-6.2,1,1,0.2,-6.2,-0.169605
0.4,-6.2,1,1,0.4,-6.2,-0.112864
0.6,-6.2,1,1,0.6,-6.2,-0.395335
0.8,-6.2,1,1,0.8,-6.2,-0.677805
1,-6.2,1,1,1,-6.2,-0.696576
1.2,-6.2,1,1,1.2,-6.2,-0.443705
1.4,-6.2,1,1,1.4,-6.2,-0.443705
1.6,-6.2,1,1,1.6,-6.2,-0.443705
1.8,-6.2,1,1,1.8,-6.2,-0.443705
2,-6.2,1,1,2,-6.2,-0.577554
2.2,-6.2,1,1,2.2,-6.2,-0.375441
2.4,-6.2,1,1,2.4,-6.2,-0.375441
2.6,-6.2,1,1,2.6,-6.2,-0.375441
2.8,-6.2,1,1,2.8,-6.2,-0.489221
3,-6.2,1,1,3,-6.2,-0.489221
3.2,-6.2,1,1,3.2,-6.2,-0.449588
3.4,-6.2,1,1,3.4,-6.2,-0.284176
3.6,-6.2,1,1,3.6,-6.2,-0.284176
3.8,-6.2,1,1,3.8,-6.2,-0.397823
4,-6.2,1,1,4,-6.2,-0.397223
4.2,-6.2,1,1,4.2,-6.2,-0.397223
4.4,-6.2,1,1,4.4,-6.2,-0.44936
4.6,-6.2,1,1,4.6,-6.2,-0.73183
4.8,-6.2,1,1,4.8,-6.2,-1.0143
5,-6.2,1,1,5,-6.2,-1.29677
5.2,-6.2,1,1,5.2,-6.2,-1.5764
5.4,-6.2,1,1,5.4,-6.2,-1.5764
5.6,-6.2,1,1,5.6,-6.2,-1.5764
5.8,-6.2,1,1,5.8,-6.2,-1.5764
6,-6.2,1,1,6,-6.2,-1.37028
6.2,-6.2,1,1,6.2,-6.2,-1.08781
6.4,-6.2,1,1,6.4,-6.2,-0.864323
6.6,-6.2,1,1,6.6,-6.2,-0.581854
6.8,-6.2,1,1,6.8,-6.2,-0.299383
7,-6.2,1,1,7,-6.2,-0.0863485
7.2,-6.2,1,1,7.2,-6.2,-0.265557
7.4,-6.2,1,1,7.4,-6.2,-0.548027
7.6,-6.2,1,1,7.6,-6.2,-0.830497
7.8,-6.2,1,1,7.8,-6.2,-1.11297
8,-6.2,1,1,8,-6.2,-1.1516
8.2,-6.2,1,1,8.2,-6.2,-1.1516
8.4,-6.2,1,1,8.4,-6.2,-1.1516
8.6,-6.2,1,1,8.6,-6.2,-1.1516
8.8,-6.2,1,1,8.8,-6.2,-1.1516
9,-6.2,1,1,9,-6.2,-0.963584
9.2,-6.2,1,1,9.2,-6.2,-0.681115
9.4,-6.2,1,1,9.4,-6.2,-0.398645
9.6,-6.2,1,1,9.6,-6.2,-0.116173
9.8,-6.2,1,1,9.8,-6.2,-0.166296
-10,-6,1,1,-10,-6,-0.961697
-9.8,-6,1,1,-9.8,-6,-0.679227
-9.6,-6,1,1,-9.6,-6,-0.396758
-9.4,-6,1,1,-9.4,-6,-0.20461
-9.2,-6,1,1,-9.2,-6,-0.20461
-9,-6,1,1,-9,-6,-0.450653
-8.8,-6,1,1,-8.8,-6,-0.5905
-8.6,-6,1,1,-8.6,-6,-0.734682
-8.4,-6,1,1,-8.4,-6,-0.814499
-8.2,-6,1,1,-8.2,-6,-0.938715
-8,-6,1,1,-8,-6,-1.22118
-7.8,-6,1,1,-7.8,-6,-1.50365
-7.6,-6,1,1,-7.6,-6,-1.68825
-7.4,-6,1,1,-7.4,-6,-1.40578
-7.2,-6,1,1,-7.2,-6,-1.12331
-7,-6,1,1,-7,-6,-0.840837
-6.8,-6,1,1,-6.8,-6,-0.558367
-6.6,-6,1,1,-6.6,-6,-0.275896
-6.4,-6,1,1,-6.4,-6,-0.251173
-6.2,-6,1,1,-6.2,-6,-0.289044
-6,-6,1,1,-6,-6,-0.372992
-5.8,-6,1,1,-5.8,-6,-0.372992
-5.6,-6,1,1,-5.6,-6,-0.37637
-5.4,-6,1,1,-5.4,-6,-0.403281
-5.2,-6,1,1,-5.2,-6,-0.548131
-5,-6,1,1,-5,-6,-0.830601
-4.8,-6,1,1,-4.8,-6,-1.09001
-4.6,-6,1,1,-4.6,-6,-1.09001
-4.4,-6,1,1,-4.4,-6,-1.09001
-4.2,-6,1,1,-4.2,-6,-1.09001
-4,-6,1,1,-4,-6,-1.15753
-3.8,-6,1,1,-3.8,-6,-1.23336
-3.6,-6,1,1,-3.6,-6,-0.950886
-3.4,-6,1,1,-3.4,-6,-0.668417
-3.2,-6,1,1,-3.2,-6,-0.402056
-3,-6,1,1,-3,-6,-0.402056
-2.8,-6,1,1,-2.8,-6,-0.402056
-2.6,-6,1,1,-2.6,-6,-0.461464
-2.4,-6,1,1,-2.4,-6,-0.743934
-2.2,-6,1,1,-2.2,-6,-1.0264
-2,-6,1,1,-2,-6,-1.07972
-1.8,-6,1,1,-1.8,-6,-0.797253
-1.6,-6,1,1,-1.6,-6,-0.514783
-1.4,-6,1,1,-1.4,-6,-0.232312
-1.2,-6,1,1,-1.2,-6,-0.105744
-1,-6,1,1,-1,-6,-0.332628
-0.8,-6,1,1,-0.8,-6,-0.615098
-0.6,-6,1,1,-0.6,-6,-0.726057
-0.4,-6,1,1,-0.4,-6,-0.726057
-0.2,-6,1,1,-0.2,-6,-0.726057
0,-6,1,1,0,-6,-0.452076
0.2,-6,1,1,0.2,-6,-0.379011
0.4,-6,1,1,0.4,-6,-0.379011
0.6,-6,1,1,0.6,-6,-0.395335
0.8,-6,1,1,0.8,-6,-0.677805
1,-6,1,1,1,-6,-0.726175
1.2,-6,1,1,1.2,-6,-0.726175
1.4,-6,1,1,1.4,-6,-0.726175
1.6,-6,1,1,1.6,-6,-0.726175
1.8,-6,1,1,1.8,-6,-0.726175
2,-6,1,1,2,-6,-0.577554
2.2,-6,1,1,2.2,-6,-0.295084
2.4,-6,1,1,2.4,-6,-0.0929707
2.6,-6,1,1,2.6,-6,-0.269857
2.8,-6,1,1,2.8,-6,-0.206751
3,-6,1,1,3,-6,-0.206751
3.2,-6,1,1,3.2,-6,-0.36219
3.4,-6,1,1,3.4,-6,-0.167117
3.6,-6,1,1,3.6,-6,-0.115353
3.8,-6,1,1,3.8,-6,-0.397823
4,-6,1,1,4,-6,-0.679693
4.2,-6,1,1,4.2,-6,-0.679693
4.4,-6,1,1,4.4,-6,-0.679693
4.6,-6,1,1,4.6,-6,-0.73183
4.8,-6,1,1,4.8,-6,-1.0143
5,-6,1,1,5,-6,-1.29677
5.2,-6,1,1,5.2,-6,-1.57924
5.4,-6,1,1,5.4,-6,-1.85887
5.6,-6,1,1,5.6,-6,-1.85887
5.8,-6,1,1,5.8,-6,-1.65275
6,-6,1,1,6,-6,-1.37028
6.2,-6,1,1,6.2,-6,-1.14679
6.4,-6,1,1,6.4,-6,-0.864323
6.6,-6,1,1,6.6,-6,-0.581854
6.8,-6,1,1,6.8,-6,-0.368818
7,-6,1,1,7,-6,-0.368818
7.2,-6,1,1,7.2,-6,-0.368818
7.4,-6,1,1,7.4,-6,-0.548027
7.6,-6,1,1,7.6,-6,-0.830497
7.8,-6,1,1,7.8,-6,-1.11297
8,-6,1,1,8,-6,-1.39544
8.2,-6,1,1,8.2,-6,-1.43407
8.4,-6,1,1,8.4,-6,-1.43407
8.6,-6,1,1,8.6,-6,-1.43407
8.8,-6,1,1,8.8,-6,-1.24605
9,-6,1,1,9,-6,-0.963584
9.2,-6,1,1,9.2,-6,-0.681115
9.4,-6,1,1,9.4,-6,-0.398645
9.6,-6,1,1,9.6,-6,-0.28839
9.8,-6,1,1,9.8,-6,-0.28839
-10,-5.8,1,1,-10,-5.8,-0.961697
-9.8,-5.8,1,1,-9.8,-5.8,-0.679227
-9.6,-5.8,1,1,-9.6,-5.8,-0.396758
-9.4,-5.8,1,1,-9.4,-5.8,-0.114286
-9.2,-5.8,1,1,-9.2,-5.8,-0.168183
-9,-5.8,1,1,-9,-5.8,-0.30803
-8.8,-5.8,1,1,-8.8,-5.8,-0.452212
-8.6,-5.8,1,1,-8.6,-5.8,-0.734682
-8.4,-5.8,1,1,-8.4,-5.8,-1.01715
-8.2,-5.8,1,1,-8.2,-5.8,-1.09697
-8,-5.8,1,1,-8,-5.8,-1.22118
-7.8,-5.8,1,1,-7.8,-5.8,-1.50365
-7.6,-5.8,1,1,-7.6,-5.8,-1.68825
-7.4,-5.8,1,1,-7.4,-5.8,-1.40578
-7.2,-5.8,1,1,-7.2,-5.8,-1.12331
-7,-5.8,1,1,-7,-5.8,-0.840837
-6.8,-5.8,1,1,-6.8,-5.8,-0.558367
-6.6,-5.8,1,1,-6.6,-5.8,-0.275896
-6.4,-5.8,1,1,-6.4,-5.8,-0.0312971
-6.2,-5.8,1,1,-6.2,-5.8,-0.289044
-6,-5.8,1,1,-6,-5.8,-0.571514
-5.8,-5.8,1,1,-5.8,-5.8,-0.29928
-5.6,-5.8,1,1,-5.6,-5.8,-0.120812
-5.4,-5.8,1,1,-5.4,-5.8,-0.26566
-5.2,-5.8,1,1,-5.2,-5.8,-0.548131
-5,-5.8,1,1,-5,-5.8,-0.807537
-4.8,-5.8,1,1,-4.8,-5.8,-0.807537
-4.6,-5.8,1,1,-4.6,-5.8,-0.807537
-4.4,-5.8,1,1,-4.4,-5.8,-0.807537
-4.2,-5.8,1,1,-4.2,-5.8,-0.875056
-4,-5.8,1,1,-4,-5.8,-1.15753
-3.8,-5.8,1,1,-3.8,-5.8,-1.23336
-3.6,-5.8,1,1,-3.6,-5.8,-0.950886
-3.4,-5.8,1,1,-3.4,-5.8,-0.668417
-3.2,-5.8,1,1,-3.2,-5.8,-0.385946
-3,-5.8,1,1,-3,-5.8,-0.119586
-2.8,-5.8,1,1,-2.8,-5.8,-0.178994
-2.6,-5.8,1,1,-2.6,-5.8,-0.461464
-2.4,-5.8,1,1,-2.4,-5.8,-0.743934
-2.2,-5.8,1,1,-2.2,-5.8,-1.0264
-2,-5.8,1,1,-2,-5.8,-1.07972
-1.8,-5.8,1,1,-1.8,-5.8,-0.797253
-1.6,-5.8,1,1,-1.6,-5.8,-0.514783
-1.4,-5.8,1,1,-1.4,-5.8,-0.232312
-1.2,-5.8,1,1,-1.2,-5.8,-0.176726
-1,-5.8,1,1,-1,-5.8,-0.332628
-0.8,-5.8,1,1,-0.8,-5.8,-0.615098
-0.6,-5.8,1,1,-0.6,-5.8,-0.897568
-0.4,-5.8,1,1,-0.4,-5.8,-1.00853
-0.2,-5.8,1,1,-0.2,-5.8,-0.734546
0,-5.8,1,1,0,-5.8,-0.66148
0.2,-5.8,1,1,0.2,-5.8,-0.66148
0.4,-5.8,1,1,0.4,-5.8,-0.66148
0.6,-5.8,1,1,0.6,-5.8,-0.66148
0.8,-5.8,1,1,0.8,-5.8,-0.677805
1,-5.8,1,1,1,-5.8,-0.960275
1.2,-5.8,1,1,1.2,-5.8,-1.00865
1.4,-5.8,1,1,1.4,-5.8,-1.00865
1.6,-5.8,1,1,1.6,-5.8,-1.00865
1.8,-5.8,1,1,1.8,-5.8,-0.860024
2,-5.8,1,1,2,-5.8,-0.577554
2.2,-5.8,1,1,2.2,-5.8,-0.295084
2.4,-5.8,1,1,2.4,-5.8,-0.189499
2.6,-5.8,1,1,2.6,-5.8,-0.269857
2.8,-5.8,1,1,2.8,-5.8,-0.20275
3,-5.8,1,1,3,-5.8,-0.0797204
3.2,-5.8,1,1,3.2,-5.8,-0.36219
3.4,-5.8,1,1,3.4,-5.8,-0.280764
3.6,-5.8,1,1,3.6,-5.8,-0.280764
3.8,-5.8,1,1,3.8,-5.8,-0.397823
4,-5.8,1,1,4,-5.8,-0.680293
4.2,-5.8,1,1,4.2,-5.8,-0.962163
4.4,-5.8,1,1,4.4,-5.8,-0.962163
4.6,-5.8,1,1,4.6,-5.8,-0.962163
4.8,-5.8,1,1,4.8,-5.8,-1.0143
5,-5.8,1,1,5,-5.8,-1.29677
5.2,-5.8,1,1,5.2,-5.8,-1.57924
5.4,-5.8,1,1,5.4,-5.8,-1.86171
5.6,-5.8,1,1,5.6,-5.8,-1.93522
5.8,-5.8,1,1,5.8,-5.8,-1.65275
6,-5.8,1,1,6,-5.8,-1.42926
6.2,-5.8,1,1,6.2,-5.8,-1.14679
6.4,-5.8,1,1,6.4,-5.8,-0.864323
6.6,-5.8,1,1,6.6,-5.8,-0.651288
6.8,-5.8,1,1,6.8,-5.8,-0.651288
7,-5.8,1,1,7,-5.8,-0.651288
7.2,-5.8,1,1,7.2,-5.8,-0.651288
7.4,-5.8,1,1,7.4,-5.8,-0.651288
7.6,-5.8,1,1,7.6,-5.8,-0.830497
7.8,-5.8,1,1,7.8,-5.8,-1.11297
8,-5.8,1,1,8,-5.8,-1.39544
8.2,-5.8,1,1,8.2,-5.8,-1.4421
8.4,-5.8,1,1,8.4,-5.8,-1.20896
8.6,-5.8,1,1,8.6,-5.8,-1.19903
8.8,-5.8,1,1,8.8,-5.8,-1.19903
9,-5.8,1,1,9,-5.8,-0.963584
9.2,-5.8,1,1,9.2,-5.8,-0.681115
9.4,-5.8,1,1,9.4,-5.8,-0.57086
9.6,-5.8,1,1,9.6,-5.8,-0.57086
9.8,-5.8,1,1,9.8,-5.8,-0.57086
-10,-5.6,1,1,-10,-5.6,-0.961697
-9.8,-5.6,1,1,-9.8,-5.6,-0.679227
-9.6,-5.6,1,1,-9.6,-5.6,-0.396758
-9.4,-5.6,1,1,-9.4,-5.6,-0.36033
-9.2,-5.6,1,1,-9.2,-5.6,-0.112728
-9,-5.6,1,1,-9,-5.6,-0.169742
-8.8,-5.6,1,1,-8.8,-5.6,-0.452212
-8.6,-5.6,1,1,-8.6,-5.6,-0.734682
-8.4,-5.6,1,1,-8.4,-5.6,-1.01715
-8.2,-5.6,1,1,-8.2,-5.6,-1.29962
-8,-5.6,1,1,-8,-5.6,-1.37944
-7.8,-5.6,1,1,-7.8,-5.6,-1.50365
-7.6,-5.6,1,1,-7.6,-5.6,-1.68825
-7.4,-5.6,1,1,-7.4,-5.6,-1.40578
-7.2,-5.6,1,1,-7.2,-5.6,-1.12331
-7,-5.6,1,1,-7,-5.6,-0.840837
-6.8,-5.6,1,1,-6.8,-5.6,-0.558367
-6.6,-5.6,1,1,-6.6,-5.6,-0.313768
-6.4,-5.6,1,1,-6.4,-5.6,-0.313768
-6.2,-5.6,1,1,-6.2,-5.6,-0.313768
-6,-5.6,1,1,-6,-5.6,-0.571514
-5.8,-5.6,1,1,-5.8,-5.6,-0.29928
-5.6,-5.6,1,1,-5.6,-5.6,-0.161659
-5.4,-5.6,1,1,-5.4,-5.6,-0.26566
-5.2,-5.6,1,1,-5.2,-5.6,-0.537295
-5,-5.6,1,1,-5,-5.6,-0.525067
-4.8,-5.6,1,1,-4.8,-5.6,-0.525067
-4.6,-5.6,1,1,-4.6,-5.6,-0.525067
-4.4,-5.6,1,1,-4.4,-5.6,-0.592585
-4.2,-5.6,1,1,-4.2,-5.6,-0.875056
-4,-5.6,1,1,-4,-5.6,-1.15753
-3.8,-5.6,1,1,-3.8,-5.6,-1.23336
-3.6,-5.6,1,1,-3.6,-5.6,-0.950886
-3.4,-5.6,1,1,-3.4,-5.6,-0.668417
-3.2,-5.6,1,1,-3.2,-5.6,-0.385946
-3,-5.6,1,1,-3,-5.6,-0.162885
-2.8,-5.6,1,1,-2.8,-5.6,-0.178994
-2.6,-5.6,1,1,-2.6,-5.6,-0.461464
-2.4,-5.6,1,1,-2.4,-5.6,-0.743934
-2.2,-5.6,1,1,-2.2,-5.6,-1.0264
-2,-5.6,1,1,-2,-5.6,-1.07972
-1.8,-5.6,1,1,-1.8,-5.6,-0.797253
-1.6,-5.6,1,1,-1.6,-5.6,-0.514783
-1.4,-5.6,1,1,-1.4,-5.6,-0.459197
-1.2,-5.6,1,1,-1.2,-5.6,-0.459197
-1,-5.6,1,1,-1,-5.6,-0.459197
-0.8,-5.6,1,1,-0.8,-5.6,-0.615098
-0.6,-5.6,1,1,-0.6,-5.6,-0.897568
-0.4,-5.6,1,1,-0.4,-5.6,-1.01702
-0.2,-5.6,1,1,-0.2,-5.6,-0.943951
0,-5.6,1,1,0,-5.6,-0.943951
0.2,-5.6,1,1,0.2,-5.6,-0.943951
0.4,-5.6,1,1,0.4,-5.6,-0.943951
0.6,-5.6,1,1,0.6,-5.6,-0.943951
0.8,-5.6,1,1,0.8,-5.6,-0.943951
1,-5.6,1,1,1,-5.6,-0.960275
1.2,-5.6,1,1,1.2,-5.6,-1.24275
1.4,-5.6,1,1,1.4,-5.6,-1.29112
1.6,-5.6,1,1,1.6,-5.6,-1.14249
1.8,-5.6,1,1,1.8,-5.6,-0.860024
2,-5.6,1,1,2,-5.6,-0.577554
2.2,-5.6,1,1,2.2,-5.6,-0.47197
2.4,-5.6,1,1,2.4,-5.6,-0.47197
2.6,-5.6,1,1,2.6,-5.6,-0.47197
2.8,-5.6,1,1,2.8,-5.6,-0.358189
3,-5.6,1,1,3,-5.6,-0.358189
3.2,-5.6,1,1,3.2,-5.6,-0.36219
3.4,-5.6,1,1,3.4,-5.6,-0.563235
3.6,-5.6,1,1,3.6,-5.6,-0.563235
3.8,-5.6,1,1,3.8,-5.6,-0.563235
4,-5.6,1,1,4,-5.6,-0.680293
4.2,-5.6,1,1,4.2,-5.6,-0.962763
4.4,-5.6,1,1,4.4,-5.6,-1.24463
4.6,-5.6,1,1,4.6,-5.6,-1.24463
4.8,-5.6,1,1,4.8,-5.6,-1.24463
5,-5.6,1,1,5,-5.6,-1.29677
5.2,-5.6,1,1,5.2,-5.6,-1.57924
5.4,-5.6,1,1,5.4,-5.6,-1.86171
5.6,-5.6,1,1,5.6,-5.6,-1.93522
5.8,-5.6,1,1,5.8,-5.6,-1.71173
6,-5.6,1,1,6,-5.6,-1.42926
6.2,-5.6,1,1,6.2,-5.6,-1.14679
6.4,-5.6,1,1,6.4,-5.6,-0.933759
6.6,-5.6,1,1,6.6,-5.6,-0.933759
6.8,-5.6,1,1,6.8,-5.6,-0.933759
7,-5.6,1,1,7,-5.6,-0.933759
7.2,-5.6,1,1,7.2,-5.6,-0.933759
7.4,-5.6,1,1,7.4,-5.6,-0.933759
7.6,-5.6,1,1,7.6,-5.6,-0.933759
7.8,-5.6,1,1,7.8,-5.6,-1.11297
8,-5.6,1,1,8,-5.6,-1.15963
8.2,-5.6,1,1,8.2,-5.6,-1.15963
8.4,-5.6,1,1,8.4,-5.6,-1.15963
8.6,-5.6,1,1,8.6,-5.6,-0.926493
8.8,-5.6,1,1,8.8,-5.6,-0.916556
9,-5.6,1,1,9,-5.6,-0.916556
9.2,-5.6,1,1,9.2,-5.6,-0.853331
9.4,-5.6,1,1,9.4,-5.6,-0.853331
9.6,-5.6,1,1,9.6,-5.6,-0.853331
9.8,-5.6,1,1,9.8,-5.6,-0.853331
-10,-5.4,1,1,-10,-5.4,-0.961697
-9.8,-5.4,1,1,-9.8,-5.4,-0.679227
-9.6,-5.4,1,1,-9.6,-5.4,-0.6428
-9.4,-5.4,1,1,-9.4,-5.4,-0.395198
-9.2,-5.4,1,1,-9.2,-5.4,-0.25691
-9,-5.4,1,1,-9,-5.4,-0.25691
-8.8,-5.4,1,1,-8.8,-5.4,-0.452212
-8.6,-5.4,1,1,-8.6,-5.4,-0.734682
-8.4,-5.4,1,1,-8.4,-5.4,-1.01715
-8.2,-5.4,1,1,-8.2,-5.4,-1.29962
-8,-5.4,1,1,-8,-5.4,-1.58209
-7.8,-5.4,1,1,-7.8,-5.4,-1.66191
-7.6,-5.4,1,1,-7.6,-5.4,-1.68825
-7.4,-5.4,1,1,-7.4,-5.4,-1.40578
-7.2,-5.4,1,1,-7.2,-5.4,-1.12331
-7,-5.4,1,1,-7,-5.4,-0.840837
-6.8,-5.4,1,1,-6.8,-5.4,-0.596237
-6.6,-5.4,1,1,-6.6,-5.4,-0.596237
-6.4,-5.4,1,1,-6.4,-5.4,-0.596237
-6.2,-5.4,1,1,-6.2,-5.4,-0.596237
-6,-5.4,1,1,-6,-5.4,-0.58175
-5.8,-5.4,1,1,-5.8,-5.4,-0.444129
-5.6,-5.4,1,1,-5.6,-5.4,-0.444129
-5.4,-5.4,1,1,-5.4,-5.4,-0.444129
-5.2,-5.4,1,1,-5.2,-5.4,-0.537295
-5,-5.4,1,1,-5,-5.4,-0.254825
-4.8,-5.4,1,1,-4.8,-5.4,-0.242597
-4.6,-5.4,1,1,-4.6,-5.4,-0.310115
-4.4,-5.4,1,1,-4.4,-5.4,-0.592585
-4.2,-5.4,1,1,-4.2,-5.4,-0.875056
-4,-5.4,1,1,-4,-5.4,-1.15753
-3.8,-5.4,1,1,-3.8,-5.4,-1.23336
-3.6,-5.4,1,1,-3.6,-5.4,-0.950886
-3.4,-5.4,1,1,-3.4,-5.4,-0.668417
-3.2,-5.4,1,1,-3.2,-5.4,-0.445355
-3,-5.4,1,1,-3,-5.4,-0.445355
-2.8,-5.4,1,1,-2.8,-5.4,-0.445355
-2.6,-5.4,1,1,-2.6,-5.4,-0.461464
-2.4,-5.4,1,1,-2.4,-5.4,-0.743934
-2.2,-5.4,1,1,-2.2,-5.4,-1.0264
-2,-5.4,1,1,-2,-5.4,-1.07972
-1.8,-5.4,1,1,-1.8,-5.4,-0.797253
-1.6,-5.4,1,1,-1.6,-5.4,-0.741667
-1.4,-5.4,1,1,-1.4,-5.4,-0.741667
-1.2,-5.4,1,1,-1.2,-5.4,-0.741667
-1,-5.4,1,1,-1,-5.4,-0.741667
-0.8,-5.4,1,1,-0.8,-5.4,-0.741667
-0.6,-5.4,1,1,-0.6,-5.4,-0.897568
-0.4,-5.4,1,1,-0.4,-5.4,-1.09738
-0.2,-5.4,1,1,-0.2,-5.4,-1.09738
0,-5.4,1,1,0,-5.4,-1.10497
0.2,-5.4,1,1,0.2,-5.4,-1.22642
0.4,-5.4,1,1,0.4,-5.4,-1.22642
0.6,-5.4,1,1,0.6,-5.4,-1.22642
0.8,-5.4,1,1,0.8,-5.4,-1.22642
1,-5.4,1,1,1,-5.4,-1.22642
1.2,-5.4,1,1,1.2,-5.4,-1.24275
1.4,-5.4,1,1,1.4,-5.4,-1.42496
1.6,-5.4,1,1,1.6,-5.4,-1.14249
1.8,-5.4,1,1,1.8,-5.4,-0.860024
2,-5.4,1,1,2,-5.4,-0.75444
2.2,-5.4,1,1,2.2,-5.4,-0.75444
2.4,-5.4,1,1,2.4,-5.4,-0.75444
2.6,-5.4,1,1,2.6,-5.4,-0.640659
2.8,-5.4,1,1,2.8,-5.4,-0.640659
3,-5.4,1,1,3,-5.4,-0.640659
3.2,-5.4,1,1,3.2,-5.4,-0.640659
3.4,-5.4,1,1,3.4,-5.4,-0.644661
3.6,-5.4,1,1,3.6,-5.4,-0.845704
3.8,-5.4,1,1,3.8,-5.4,-0.845704
