sep=,
org_x,org_y,org_z,hit,hit_x,hit_y,hit_z
-5,-9.8,1,1,-5,-9.8,-0.953918
-4.8,-9.8,1,1,-4.8,-9.8,-0.953918
-4.6,-9.8,1,1,-4.6,-9.8,-0.953918
-4.4,-9.8,1,1,-4.4,-9.8,-0.953918
-4.2,-9.8,1,1,-4.2,-9.8,-0.953918
-4,-9.8,1,1,-4,-9.8,-0.946995
-3.8,-9.8,1,1,-3.8,-9.8,-0.946995
-3.6,-9.8,1,1,-3.6,-9.8,-0.685587
-3.4,-9.8,1,1,-3.4,-9.8,-0.403117
-3.2,-9.8,1,1,-3.2,-9.8,-0.203746
-3,-9.8,1,1,-3,-9.8,-0.203746
-2.8,-9.8,1,1,-2.8,-9.8,-0.444294
-2.6,-9.8,1,1,-2.6,-9.8,-0.726764
-2.4,-9.8,1,1,-2.4,-9.8,-1.00923
-2.2,-9.8,1,1,-2.2,-9.8,-1.2917
-2,-9.8,1,1,-2,-9.8,-1.32855
-1.8,-9.8,1,1,-1.8,-9.8,-1.32855
-1.6,-9.8,1,1,-1.6,-9.8,-1.32855
-1.4,-9.8,1,1,-1.4,-9.8,-1.32855
-1.2,-9.8,1,1,-1.2,-9.8,-1.16426
-1,-9.8,1,1,-1,-9.8,-0.881786
-0.8,-9.8,1,1,-0.8,-9.8,-0.599316
-0.6,-9.8,1,1,-0.6,-9.8,-0.316846
-0.4,-9.8,1,1,-0.4,-9.8,-0.277489
-0.2,-9.8,1,1,-0.2,-9.8,-0.277489
0,-9.8,1,1,0,-9.8,-0.530565
0.2,-9.8,1,1,0.2,-9.8,-0.813035
0.4,-9.8,1,1,0.4,-9.8,-1.09551
0.6,-9.8,1,1,0.6,-9.8,-1.07164
0.8,-9.8,1,1,0.8,-9.8,-0.789166
1,-9.8,1,1,1,-9.8,-0.506696
1.2,-9.8,1,1,1.2,-9.8,-0.433926
1.4,-9.8,1,1,1.4,-9.8,-0.249679
1.6,-9.8,1,1,1.6,-9.8,-0.249679
1.8,-9.8,1,1,1.8,-9.8,-0.408586
2,-9.8,1,1,2,-9.8,-0.691056
2.2,-9.8,1,1,2.2,-9.8,-0.973526
2.4,-9.8,1,1,2.4,-9.8,-1.256
2.6,-9.8,1,1,2.6,-9.8,-1.53847
2.8,-9.8,1,1,2.8,-9.8,-1.82094
3,-9.8,1,1,3,-9.8,-2.10341
3.2,-9.8,1,1,3.2,-9.8,-2.13457
3.4,-9.8,1,1,3.4,-9.8,-1.8521
3.6,-9.8,1,1,3.6,-9.8,-1.56963
3.8,-9.8,1,1,3.8,-9.8,-1.28716
4,-9.8,1,1,4,-9.8,-1.00469
4.2,-9.8,1,1,4.2,-9.8,-0.722223
4.4,-9.8,1,1,4.4,-9.8,-0.439752
4.6,-9.8,1,1,4.6,-9.8,-0.157282
4.8,-9.8,1,1,4.8,-9.8,-0.125188
5,-9.8,1,1,5,-9.8,-0.407658
5.2,-9.8,1,1,5.2,-9.8,-0.690128
5.4,-9.8,1,1,5.4,-9.8,-0.972599
5.6,-9.8,1,1,5.6,-9.8,-1.12705
5.8,-9.8,1,1,5.8,-9.8,-1.12705
6,-9.8,1,1,6,-9.8,-1.12705
6.2,-9.8,1,1,6.2,-9.8,-1.18736
6.4,-9.8,1,1,6.4,-9.8,-1.46983
6.6,-9.8,1,1,6.6,-9.8,-1.68406
6.8,-9.8,1,1,6.8,-9.8,-1.40159
7,-9.8,1,1,7,-9.8,-1.11912
7.2,-9.8,1,1,7.2,-9.8,-1.01562
7.4,-9.8,1,1,7.4,-9.8,-1.01562
7.6,-9.8,1,1,7.6,-9.8,-1.01562
7.8,-9.8,1,1,7.8,-9.8,-1.01562
8,-9.8,1,1,8,-9.8,-1.01562
8.2,-9.8,1,1,8.2,-9.8,-1.01562
8.4,-9.8,1,1,8.4,-9.8,-0.978158
8.6,-9.8,1,1,8.6,-9.8,-0.695687
8.8,-9.8,1,1,8.8,-9.8,-0.413217
9,-9.8,1,1,9,-9.8,-0.249753
9.2,-9.8,1,1,9.2,-9.8,-0.249753
9.4,-9.8,1,1,9.4,-9.8,-0.434193
